method,dataset,patient_id,llm_provider,llm_model,llm_used,llm_fallback_used,retrieved_chunks,xgboost_sec,shap_sec,dice_sec,rag_retrieval_sec,guardrail_sec,llm_api_sec,llm_summary_sec,component_sum_sec,total_inference_sec
BRANCH-Gemma4-26B,gallstone,102,gemini,gemma-4-26b-a4b-it,True,False,3,0.0049,0.0476,0.0042,0.0064,0.0,17.8848,17.8861,17.949199999999998,17.9493
BRANCH-Gemma4-26B,gallstone,103,gemini,gemma-4-26b-a4b-it,True,False,3,0.005,0.1125,0.0045,0.007,0.0,17.7926,17.7936,17.922600000000003,17.9227
BRANCH-Gemma4-26B,gallstone,14,gemini,gemma-4-26b-a4b-it,True,False,3,0.0048,0.0548,0.005,0.0071,0.0,18.1301,18.1315,18.2032,18.2033
BRANCH-Gemma4-26B,gallstone,1,gemini,gemma-4-26b-a4b-it,True,False,3,0.0086,3.9937,0.3835,0.562,0.0001,18.1962,18.2011,23.149,23.1489
BRANCH-Gemma4-26B,gallstone,20,gemini,gemma-4-26b-a4b-it,True,False,3,0.0053,0.0463,0.0048,0.0071,0.0,18.0087,18.0101,18.073600000000003,18.0737
BRANCH-Gemma4-26B,gallstone,21,gemini,gemma-4-26b-a4b-it,True,False,3,0.0046,0.0472,0.0054,0.0069,0.0,17.725,17.7267,17.7908,17.7909
BRANCH-Gemma4-26B,gallstone,37,gemini,gemma-4-26b-a4b-it,True,False,3,0.0062,0.0654,0.0074,0.0092,0.0001,17.9779,17.9797,18.068,18.068
BRANCH-Gemma4-26B,gallstone,48,gemini,gemma-4-26b-a4b-it,True,False,3,0.0064,0.0642,0.0089,0.0083,0.0001,18.5816,18.5833,18.671200000000002,18.671
BRANCH-Gemma4-26B,gallstone,50,gemini,gemma-4-26b-a4b-it,True,False,3,0.0061,0.0596,0.0066,0.0088,0.0001,18.2006,18.202,18.2832,18.2831
BRANCH-Gemma4-26B,gallstone,52,gemini,gemma-4-26b-a4b-it,True,False,3,0.0044,0.0444,0.0044,0.0061,0.0,18.4327,18.4339,18.4932,18.4933
BRANCH-Gemma4-26B,gallstone,54,gemini,gemma-4-26b-a4b-it,True,False,3,0.003,0.0267,0.0024,0.0043,0.0,18.2103,18.2112,18.247600000000002,18.2477
BRANCH-Gemma4-26B,gallstone,57,gemini,gemma-4-26b-a4b-it,True,False,3,0.0058,0.0883,0.004,0.0067,0.0,18.1343,18.1352,18.240000000000002,18.24
BRANCH-Gemma4-26B,gallstone,58,gemini,gemma-4-26b-a4b-it,True,False,3,0.0067,0.0469,0.0052,0.0066,0.0,18.2168,18.2185,18.2839,18.2839
BRANCH-Gemma4-26B,gallstone,63,gemini,gemma-4-26b-a4b-it,True,False,3,0.0055,0.0517,0.0046,0.0068,0.0,17.8484,17.8493,17.9179,17.9179
BRANCH-Gemma4-26B,gallstone,71,gemini,gemma-4-26b-a4b-it,True,False,3,0.0053,0.0482,0.0051,0.0072,0.0,18.1041,18.1056,18.1714,18.1714
BRANCH-Gemma4-26B,gallstone,74,gemini,gemma-4-26b-a4b-it,True,False,3,0.0049,0.0469,0.0061,0.0085,0.0,18.0415,18.0424,18.108800000000002,18.1088
BRANCH-Gemma4-26B,gallstone,87,gemini,gemma-4-26b-a4b-it,True,False,3,0.0046,0.0472,0.0055,0.0071,0.0,18.1154,18.1169,18.1813,18.1812
BRANCH-Gemma4-26B,gallstone,88,gemini,gemma-4-26b-a4b-it,True,False,3,0.005,0.0471,0.0029,0.006,0.0,18.2531,18.2541,18.3151,18.3152
BRANCH-Gemma4-26B,gallstone,92,gemini,gemma-4-26b-a4b-it,True,False,3,0.0049,0.0477,0.4718,0.0082,0.0,18.1861,18.1871,18.7197,18.7198
